company,type,rec_details,job details,city,skills,details,job_link,posted_time,posted_date,experience in int,actively_hiring/hiring
CIEL HR,Regular,Recruiter DetailsCIEL HROther Gujarathidden_emailhidden_mobile,"Job Title - Data Analyst

Job Location - Vadodara, Gujarat

CTC - Best in Industry

Experience - 0-1 years (Freshers can apply)

Job Role & Responsibility -
 Develop AI / ML solutions using data science and advanced analytics for the most complex problems. Thus this role to lead the solution build for the biggest impact projects / problems
 Help maintain data required for advanced analytics as cost effectively as possible and also supporting the drive to clean and keep this data clean.
 Support the other analyst with advanced analytics and thus in their own data science projects
 Run regular training in data science to help improve capability of the internal resources learning to be data scientists.
 Help create awareness in AI / ML amongst senior management so that they understand the art of the possible and will incorporate this in their thinking for problem solving and when developing business strategies and process designs.
 Using data mining to extract information from data. sets and identify correlations and patterns
 Organising and transforming information into comprehensible structures by monitoring data quality and removing corrupt data.
 Performing statistical analysis of data and visualise it in easy-to-understand formats, such as diagrams and graphs.
 Preparing reports and presenting these to management or clients.

Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and AWS ""big data"" technologies

Qualifications
 University Degree in Statistics, Mathematics, Economics, Computer Science, or Related technical field

Experience
 0-1 years of experience and highly skilled coder in Python or any other contemporary programming language e.g. Java, C++.
 Knowledge of SQL programming and work experience in relational databases will be an added advantage.

Interested Candidate please share your resumes at hidden_email

Contact Number - hidden_mobile,",Other Gujarat+1Vadodara,"data science,advanced analytics,data mining,SQL,AWS,Python,Java,C,AI  ML solutions",Recruiter DetailsCIEL HROther Gujarathidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-permanent/ciel-hr/14599912,Hot0 days ago,2024-03-31,"(0, 1)",Actively hiring
Info Origin,Regular,Recruiter DetailsInfo OriginOther Karnatakahidden_emailhidden_mobile,"Position Title:

Data Analyst Intern

Location:

Bangalore, KA, Onsite

Position Type:

Contract

Interview Process:

Video or In Person

Req Id:

3822

Salary/Rate:

Market Rate

Position Duration:

6 month

Key Roles and Responsibilities:
 Timely retrieval of data across finance & non-finance systems for different Divisions.
 Building new reporting tool in Palantir platforms by using PySpark Apache programming language
 Upgrading and Maintaining existing reporting solutions in Power BI platform
 Visual presentation & analysis of data to ensure team continues to push for improved ways to disseminate reporting & analysis to all interested stakeholders across globe

Required skills and Qualification
 We are looking for candidate who is a Strong Fresher or with 6 Month - 1 year of experience, passionate about transforming large voluminous data into meaningful information to facilitate decision making by various stakeholders.
 Candidate interested in this role, should have a deep. knowledge on SQL, Python, Advanced Excel skills, Power BI, Power query, Building Dax Logics to transform the data.
 Professional degree in data management field or Prior experience of working with Finance team data will be added advantage.

Expectations from the Role
 Take personal responsibility of building new platforms & maintaining existing Power BI modules for reporting purposes.
 Interact with various stakeholders to understand the need and come up with data solution to match their needs.
 Develop a deep understanding on SR data platform to retrieve required data from various sources (by using SQL or other data transformation) to provide insights to management,",Other Karnataka,"SQL,Python,Power BI,Advanced Excel skills,Power query,Building Dax Logics",Recruiter DetailsInfo OriginOther Karnatakahidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-intern-permanent/info-origin/14606835,Hot1 day ago,2024-03-30,"(0, 1)",Actively hiring
Technofactorx AI,Regular,Recruiter DetailsTechnofactorx AIAll Indiahidden_emailhidden_mobile,"Job Purpose

This role is responsible for execution of all type of marketing analytics, report creation and provide data insights to identify actionable items for both marketing and business.

Requirement
 0-1 years of proven experience in data analysis.
 Proficiency in Python programming language.
 Familiarity with data visualization tools such as QuickSight, Google Data Studio, etc.
 Expertise in Microsoft Excel for data manipulation and analysis.
 Experience working with Salesforce or similar CRM platforms.

Essential Duties And Responsibilities
 Preparation of key lead to conversion funnel reports with relevant cuts
 Preparation of relevant reports for each marketing channel
 Monitor daily trends and identify gaps or indicators which can help team to take corrective actions in advance
 Ad-hoc data analysis to identify root causes for case to case basis. Preparation of one-time reports, data consolidation etc. as and when required.
 Cost & Performance optimization between. various communication channels/lead gen channels
 Combine offline and online data to get a complete view and generate useful insights

Impact analysis of various events like print/tv ads, various experiments on website/app/other channels etc.
 Managing master data, including creation, updates, and deletion.
 Managing users and user roles.
 Provide quality assurance of imported data, working with quality assurance analysts if necessary.
 Commissioning and decommissioning of data sets.
 Processing confidential data and information according to guidelines.
 Helping develop reports and analysis.
 Managing and designing the reporting environment, including data sources, security, and metadata.
 Supporting the data warehouse in identifying and revising reporting requirements.
 Supporting initiatives for data integrity and normalization.
 Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems.
 Generating reports from single or multiple systems.
 Troubleshooting the reporting database environment and reports.
 Evaluating changes and updates to source production systems.
 Training end-users on new reports and dashboards.

Skills: data,preparation,reporting,analytics,case,data analysis,quality assurance,ad-hoc,app,crm,",All India,"data,preparation,reporting,analytics,case,data analysis,quality assurance,crm,adhoc,app",Recruiter DetailsTechnofactorx AIAll Indiahidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-analytics-intern-fresh-graduate-permanent/technofactorx-ai/14605453,Hot1 day ago,2024-03-30,"(0, 1)",Actively hiring
SCIENCE AND TECHOLOGY RESEARCH ORGANIZATION PVT. LT,Regular,Recruiter DetailsSCIENCE AND TECHOLOGY RESEARCH ORGANIZATION PVT. LTAll Indiahidden_emailhidden_mobile,"Data Analyst
Job Description: Wanted Data Analyst
Qualification: B.E/B.Tech/M.C.A/M.E/M.Tech
Salary: Negotiable
Experience: Minimum 0- 1 Year.
Recruiter Address:
HR Department,
Science and Technology Research Organisation (Pvt) Ltd,
No: 1b, D.S. Complex 347, Nehru street,
Ramnagar , coimbatore - 641009
Email: hidden_email

contact : hidden_mobile

Job Type: Full-time

Salary: 15,000.00 - 20,000.00 per month

Schedule:
 Day shift

Experience:
 total work: 1 year (Preferred)

Work Location: In person

Expected Start Date: 25/03/2024,",All India,Data Analyst,Recruiter DetailsSCIENCE AND TECHOLOGY RESEARCH ORGANIZATION PVT. LTAll Indiahidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-permanent/science-and-techology-research-organization-pvt-lt/14582023,Hot3 days ago,2024-03-28,"(0, 1)",Actively hiring
velan,Regular,Recruiter DetailsvelanOther Tamil Naduhidden_emailhidden_mobile,"Typing speed 30 WPM with 95% accuracy. Microsoft Office Knowledge

Position Title: Data Analyst

Experience: 0 to 1 Year

Posted On: 13-03-2024

Roles And Responsibilities:

Perform data entry process as per project requirements

Meet deadlines consistently

Candidate Profile:

Any college degree / Diploma

Attention to details

Comfortable working independently with minimal supervision

Ability to type a minimum of 30 WPM

Experience with Microsoft Office (Microsoft Excel, Microsoft Word)

Why Should You 
 Excellent working atmosphere
 Salary and bonus always paid on-time
 You work for a company that has continuously grown for past 17+ years
 Very supportive senior management
 And lots more

Walk-In Interview

Velan Info Services India Pvt. Ltd.

A1, Harsha Garden Masakalipalayam Road, Uppilipalayam Coimbatore - 641 015 INDIA,",Other Tamil Nadu+1Coimbatore,"Typing speed,Microsoft Office Knowledge",Recruiter DetailsvelanOther Tamil Naduhidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-permanent/velan/14604645,Hot2 days ago,2024-03-29,"(0, 1)",Actively hiring
SLA Consultants India,Regular,Recruiter DetailsSLA Consultants IndiaAll Indiahidden_emailhidden_mobile,"Number of position: 3

Posted On: 15-11-2021

Job Profile: Data Analyst

Experience: 0  3 yrs

Qualification: Any Graduate

Location: Delhi NCR, Noida

Job-Description:
 Curate and write articles/stories around social/trending, viral content and news.
 Maintaining data in Excel (includes Formula (Sum, count, if), Pivot Table,H-Look Up, V-Look Up
 Must be good knowledge of SQL, Tableau/Power BI
 Python knowledge will be plus.,",All India,"Excel,SQL,Tableau,Power BI,Python",Recruiter DetailsSLA Consultants IndiaAll Indiahidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-permanent/sla-consultants-india/14599720,Hot0 days ago,2024-03-31,"(0, 3)",Actively hiring
DIRAA HR SERVICES Hiring For MNCs,Regular10 Positions,Recruiter DetailsDIRAA HR SERVICES Hiring For MNCsCoimbatorehidden_emailhidden_mobileView ContactShow all Jobs by this Recruiter,"Roles and Responsibilities : 

Develop and implement baseline metrics and processes to measure, track and report on various subject areas related to TAq function. Support talent-related projects, analyse quantitative and qualitative data, and synthesizing findings.
Report and hence assist in improving and maintaining key Talent Acquisition metrics through regular scheduled reports, thus empowering leaders with key intelligence required for decision making.
Building knowledge of internal and external data assets to drive data-driven deliverables.
Communicating findings and insights to stakeholders through reports, presentations, and dashboards. Synthesizing data into actionable recommendations for decision-making.
Keeping up to date with industry trends, leading practices, and new technologies in talent intelligence and analytics through continuous learning and professional development.
Lead designing, developing, and implementing new and enhanced analytical/ forecasting/reporting methods.
Responding to routine ad hoc report requests, ensuring appropriate handing of confidential data. Designing and developing databases, interactive reports and dashboards as requested.
Utilize various research tools to generate and share research across multiple markets, functions, and service lines.
Promote and implement the automation of repetitive tasks.
Own or assist with ad hoc analysis and special projects.
Utilize existing resources within the function and the organization to create a more robust and dynamic reporting platform.
Create automated reconciliations to ensure data integrity across multiple sources of data
Promote accurate, consistent and clean capture of data by all stakeholders involved in the process - Offer generation & offer rollout, database management, source payouts etc.

Education, qualifications, and experience:Essential

Proficient with relevant experience in data analysis tools such as Excel, PowerPoint, VBA, Power BI, SQL,
Proven ability to draw conclusions from data and communicate in a succinct fashion to partners.
High degree of accuracy with attention to detail
Advanced Excel Formula, Power Query, Excel macros, Index Match
Ability to continuously drive simplification and automation
Commitment to train and upskill get the function into advanced reporting methods
Prior experience in designing and establishing dashboards
Proficient with other Microsoft Office tools (e.g., PowerPoint, Word)
",Coimbatore,"power bi,sql server,big data analytics,hadoop,data warehousing,data analysis,excel macros",Recruiter DetailsDIRAA HR SERVICES Hiring For MNCsCoimbatorehidden_emailhidden_mobileView ContactShow all Jobs by this Recruiter,https://www.shine.com/jobs/data-analyst-permanent/diraa-hr-services/14543839,Hot1 day ago,2024-03-30,"(0, 3)",Actively hiring
TwiLearn Edutech,Regular,Recruiter DetailsTwiLearn EdutechAll Indiahidden_emailhidden_mobile,"Company Description

TwiLearn Edutech is an organization that provides a platform for people to up-skill by getting practical experience throughout their career. Our purpose is to enhance employability through our skill development programs. At TwiLearn, we believe that individual growth is a direct result of personal growth. We are continuously looking for imaginative, talented, and goal-oriented individuals who are ambitious, enjoy a challenge, and have a passion for excellence. Our community consists of qualified student instructors who deliver top-quality online content in various subjects under the guidance of highly skilled professionals from the business sector.

Role Description

This is a remote internship role for a Data Analyst Intern at TwiLearn Edutech. The Data Analyst Intern will be responsible for analyzing and interpreting data, using statistical techniques, and developing data models. They will also communicate insights and findings to stakeholders and contribute to. ongoing data analysis projects.

Qualifications
 Analytical Skills, Data Analytics, and Statistics
 Excellent communication skills
 Data Modeling
 Proficiency in data analysis tools and software
 Ability to work independently and remotely
 Strong problem-solving skills
 Prior experience with data analysis or related field is a plus
 Currently pursuing or recently completed a degree in a relevant field,",All India,"Analytical Skills,Data Analytics,Statistics,Data Modeling,Proficiency in data analysis tools,software,Strong problemsolving skills",Recruiter DetailsTwiLearn EdutechAll Indiahidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-permanent/twilearn-edutech/14557927,6 days ago,2024-03-25,"(0, 4)",hiring
JASP Labs,Regular,Recruiter DetailsJASP LabsOther Andhra Pradeshhidden_emailhidden_mobile,"What JASP offers

Family Outside the Home

Our associates are experienced, collaborative, and diverse. Managers are technical and supportive. We also like each other, help each other and look out for one another.

Learning and Growth with Mentorship

Learn the latest techniques and tools in business within the team and outside. We provide reimbursements for courses, programs and certifications so you can continue to grow your career with us.

Exposure to Diverse Clients

With 10+ years in the business our clients trust us. Being a part of JASP is an opportunity to work with one of our many clients in US and India. Being part of small and agile teams gives you direct interaction with clients without too much hierarchy.

Some of the perks we offer

Medical Insurance

paid time off

skill upgrade support

employee financial assistance

provident fund matching

Job Description:

We are looking for freshers for the role of Business Analytics Reporting / ETL developer who will be part of. end-to-end BI projects all the way from data consolidation, data modeling, reporting, and visualization development. This is an entry-level position post 4 months training for fresher, he/she would be exposed to multiple roles which involve client interaction and assisting leads in meeting client requirements.

Responsibilities:
 Provide support in data analytics and BI deployments
 Documentation on specifications, data validation and quality checks
 Develop scripts for extraction, transformation and loading.
 Testing and validating against the requirement and source data
 Design and development of dashboards
 Publishing and scheduling of business and operational reports

Skills and Requirements:
 Must commit to staying with the company for minimum of 2 years post the training period. Please do not apply to this position if you cannot commit to this.
 Basic knowledge on databases and SQL is must.
 Good written and excellent oral communication skills.
 Knowledge of data warehousing concepts is preferred.
 Good interpersonal skills that will enable successful relationships with clients who are most often in remote sites.
 Attention to detail, well organized, able to work under pressure and meet deadlines, on time, every time.
 Very prompt and takes initiative towards his/her respective tasks and take ownership of a specific area of work
 Education Qualifications: BCA / B. Sc Computers / B. Tech / B. E. / MCA

Job Location: Visakhapatnam,",Other Andhra Pradesh,"SQL,Data Warehousing,Data Modeling,ETL,BI Deployment,Dashboard Development",Recruiter DetailsJASP LabsOther Andhra Pradeshhidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-trainee-permanent/jasp-labs/14591398,Hot1 day ago,2024-03-30,"(0, 4)",Actively hiring
Data Unveil,Regular,Recruiter DetailsData UnveilHyderabadhidden_emailhidden_mobile,"Company Description

Data Unveil is a specialized business consulting firm based in Hyderabad. We combine deep subject matter knowledge with technical expertise to help transform how pharmaceutical brands engage with patients and healthcare providers. Our best-in-class approach provides powerful insights to brand and patient services leaders.

Job Description:

As an Entry-Level Data Analytics Associate, you will have the opportunity to kickstart your career in the exciting field of data analytics. You will work alongside experienced professionals on challenging projects, gaining hands-on experience with cutting-edge technologies and methodologies. This role is perfect for recent graduates or individuals with limited professional experience who are passionate about data analytics and eager to learn and grow in a dynamic environment.

Key Responsibilities:
 Assist in collecting, cleaning, and preprocessing data from various sources for analysis.
 Conduct exploratory data analysis to. identify patterns, trends, and insights.
 Support the development and implementation of statistical models and machine learning algorithms.
 Collaborate with cross-functional teams to understand project requirements and deliver actionable insights.
 Create data visualizations and dashboards to communicate findings to stakeholders effectively.
 Contribute to the documentation and presentation of analytical results clearly and concisely.
 Stay updated on industry trends and best practices in data analytics and related technologies.

Qualifications:
 Bachelor's degree in Computer Science, Statistics, Mathematics, Data Science, or a related field from a reputable college or university.
 A strong academic record with a good GPA is a must.
 Passion for working with data and solving complex problems.
 Basic understanding of programming languages such as Python, R, or SQL.
 Familiarity with data visualization tools.
 Excellent analytical and problem-solving skills.
 Strong communication and interpersonal skills.
 Ability to work well both independently and as part of a team.

At Data Unveil, we are committed to investing in talent and providing opportunities for professional development. As an Entry-Level Data Analytics Associate, you will receive mentorship from experienced professionals and have the chance to grow and advance in your career,",Hyderabad+1Other Telangana,"Data Analytics,Exploratory Data Analysis,Statistical Modeling,Python,R,SQL,Data Preprocessing,Machine Learning Algorithms,Data Visualizations,Data Visualization Tools",Recruiter DetailsData UnveilHyderabadhidden_emailhidden_mobile,https://www.shine.com/jobs/junior-data-analyst-permanent/data-unveil/14577588,Hot1 day ago,2024-03-30,"(0, 4)",Actively hiring
